Ablation,Model,Load path,Metric,No-solver mean,Ablation mean,Mean improvement,Mean improvement %,Mean improved,No-solver median,Ablation median,Median improvement,Median improvement %,Median improved
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,2.48036,3.9553,-1.47494,-59.4648,no,2.14256,1.43388,0.70868,33.0763,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,1,0.5,0.5,50,yes,1,0.5,0.5,50,yes
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,1,0,-1,-100,no,1,0,-1,-100,no
Multi-step damped Newton,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,displacement_relative_l2,118.553,76.016,42.537,35.8802,yes,104.369,41.2901,63.0789,60.4383,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,final_displacement_relative_l2,161.242,99.9015,61.3405,38.0425,yes,141.735,56.3548,85.3802,60.2393,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,1.42269,1.41344,0.00925,0.650177,yes,1.38718,1.56149,-0.17431,-12.5658,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,2.06285,1.63402,0.42883,20.7882,yes,2.18047,1.17352,1.00695,46.1804,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,7.87038,6.45571,1.41467,17.9746,yes,6.57605,7.61022,-1.03417,-15.7263,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,55.6153,33.6391,21.9762,39.5147,yes,30.4751,20.2105,10.2646,33.6819,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,110.048,72.1025,37.9455,34.4809,yes,95.0322,38.3878,56.6444,59.6055,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_initial_residual_relative_rms,7.70893,6.31586,1.39307,18.0709,yes,6.53657,7.4365,-0.89993,-13.7676,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_final_residual_relative_rms,0.000265331,0.789487,-0.789222,-297448,no,0.000239454,0.929569,-0.92933,-388104,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,4.16406e-05,0.125001,-0.124959,-300090,no,2.44509e-05,0.125,-0.124976,-511129,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,0.999958,0.874999,-0.124959,-12.4964,no,0.999976,0.875,-0.124976,-12.4979,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_step1_residual_ratio,4.16406e-05,0.500001,-0.499959,-1.20065e+06,no,2.44509e-05,0.500001,-0.499977,-2.04482e+06,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_step1_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,1.82634,2.96607,-1.13973,-62.4051,no,1.61299,1.08774,0.52525,32.5637,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,1,0.5,0.5,50,yes,1,0.5,0.5,50,yes
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,1,0,-1,-100,no,1,0,-1,-100,no
Multi-step damped Newton,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,displacement_relative_l2,136.472,87.4916,48.9804,35.8904,yes,120.067,47.6467,72.4203,60.3166,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,final_displacement_relative_l2,188.2,116.542,71.658,38.0755,yes,165.403,65.8908,99.5122,60.1635,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,qp_history_relative_l2,1.6354,1.6163,0.0191,1.16791,yes,1.57684,1.86165,-0.28481,-18.0621,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,qp_history_increment_relative_l2,2.27941,1.75533,0.52408,22.9919,yes,2.45398,1.18627,1.26771,51.6593,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,qp_reversal_eqp_increment_relative_l2,3.53759,3.58952,-0.05193,-1.46795,no,1.12792,3.59069,-2.46277,-218.346,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,qp_reversal_plastic_work_increment_relative_l2,3.57704,3.60447,-0.02743,-0.766835,no,1.12358,3.6021,-2.47852,-220.591,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,qp_reversal_yield_flag_mae,0.679842,0.623715,0.056127,8.25589,yes,0.869565,0.6917,0.177865,20.4545,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_residual_relative_rms,9.18409,7.49328,1.69081,18.4102,yes,7.6666,8.80129,-1.13469,-14.8004,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_energy_relative_error,63.0233,39.5349,23.4884,37.2694,yes,34.4765,23.6821,10.7944,31.3094,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_solver_linearized_residual_relative_rms,127.351,83.3977,43.9533,34.5135,yes,109.92,44.5378,65.3822,59.4816,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_initial_residual_relative_rms,8.9927,7.33305,1.65965,18.4555,yes,7.6204,8.60958,-0.98918,-12.9807,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_final_residual_relative_rms,0.000308756,0.916636,-0.916327,-296780,no,0.000278147,1.07621,-1.07593,-386821,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_residual_ratio,4.17361e-05,0.125001,-0.124959,-299403,no,2.4081e-05,0.125,-0.124976,-518981,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_residual_decrease_fraction,0.999958,0.874999,-0.124959,-12.4964,no,0.999976,0.875,-0.124976,-12.4979,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_step_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_step1_residual_ratio,4.17361e-05,0.500001,-0.499959,-1.19791e+06,no,2.4081e-05,0.500001,-0.499977,-2.07623e+06,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_step1_residual_decrease_fraction,0.999958,0.499999,-0.499959,-49.998,no,0.999976,0.499999,-0.499977,-49.9989,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_correction_relative_norm,2.12376,3.44292,-1.31916,-62.1144,no,1.88055,1.2592,0.62135,33.0409,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_accepted_damping,1,0.5,0.5,50,yes,1,0.5,0.5,50,yes
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_convergence_rate,1,0,-1,-100,no,1,0,-1,-100,no
Multi-step damped Newton,hgo_qp_true_j2,unload_reload,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,displacement_relative_l2,133.171,179.628,-46.457,-34.8852,no,117.103,181.139,-64.036,-54.6835,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,final_displacement_relative_l2,901.625,1226.79,-325.165,-36.0643,no,791.036,1226.92,-435.884,-55.1029,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,qp_history_relative_l2,1.56931,1.59715,-0.02784,-1.77403,no,1.44659,1.64586,-0.19927,-13.7752,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,1.38132,1.34931,0.03201,2.31735,yes,1.43533,1.3548,0.08053,5.61056,yes
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,qp_reversal_eqp_increment_relative_l2,1.09274,1.15989,-0.06715,-6.1451,no,1.00173,1.09421,-0.09248,-9.23203,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,qp_reversal_plastic_work_increment_relative_l2,1.08649,1.14838,-0.06189,-5.69632,no,1.0015,1.08667,-0.08517,-8.50424,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,qp_reversal_yield_flag_mae,0.483696,0.47029,0.013406,2.77158,yes,0.509058,0.442029,0.067029,13.1673,yes
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,10.18,9.94043,0.23957,2.35334,yes,8.51417,10.6234,-2.10923,-24.7732,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_energy_relative_error,159.589,189.863,-30.274,-18.97,no,67.5485,194.55,-127.002,-188.015,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,333.796,455.143,-121.347,-36.3536,no,289.528,455.919,-166.391,-57.4697,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_initial_residual_relative_rms,9.97258,9.23241,0.74017,7.42205,yes,8.46288,9.07086,-0.60798,-7.18408,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_final_residual_relative_rms,0.000342831,5.7019e-09,0.000342825,99.9983,yes,0.000309169,2.73314e-09,0.000309166,99.9991,yes
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_residual_ratio,4.16534e-05,7.17603e-10,4.16527e-05,99.9983,yes,2.40653e-05,3.62225e-10,2.40649e-05,99.9985,yes
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_residual_decrease_fraction,0.999958,1,4.2e-05,0.00420018,yes,0.999976,1,2.4e-05,0.00240006,yes
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_step_residual_decrease_fraction,0.999958,0.99571,-0.004248,-0.424818,no,0.999976,0.997566,-0.00241,-0.241006,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_step1_residual_ratio,4.16534e-05,3.54407e-05,6.2127e-06,14.9152,yes,2.40653e-05,3.04976e-05,-6.4323e-06,-26.7285,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_step1_residual_decrease_fraction,0.999958,0.999965,7e-06,0.000700029,yes,0.999976,0.999969,-7e-06,-0.000700017,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_correction_relative_norm,2.31036,1.89518,0.41518,17.9704,yes,2.63878,1.20058,1.4382,54.5025,yes
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,displacement_relative_l2,150.115,202.646,-52.531,-34.9938,no,132.005,204.058,-72.053,-54.5835,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,final_displacement_relative_l2,195.608,266.315,-70.707,-36.1473,no,171.835,265.597,-93.762,-54.5651,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,qp_history_relative_l2,1.89193,1.88281,0.00912,0.482047,yes,1.81272,1.98297,-0.17025,-9.39196,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,2.29735,2.14438,0.15297,6.65854,yes,2.54097,2.19355,0.34742,13.6727,yes
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,9.8043,9.61176,0.19254,1.96383,yes,8.22466,10.3148,-2.09014,-25.4131,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_energy_relative_error,67.808,69.5227,-1.7147,-2.52876,no,36.803,41.3936,-4.5906,-12.4734,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,136.492,184.674,-48.182,-35.3002,no,117.312,186.125,-68.813,-58.6581,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,9.59892,8.91097,0.68795,7.16695,yes,8.17282,8.80511,-0.63229,-7.7365,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,0.000332936,5.45386e-09,0.000332931,99.9984,yes,0.000298321,2.62967e-09,0.000298318,99.9991,yes
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,4.22529e-05,7.15681e-10,4.22522e-05,99.9983,yes,2.43629e-05,3.62627e-10,2.43625e-05,99.9985,yes
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,0.999958,1,4.2e-05,0.00420018,yes,0.999976,1,2.4e-05,0.00240006,yes
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,0.999958,0.995714,-0.004244,-0.424418,no,0.999976,0.997579,-0.002397,-0.239706,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_ratio,4.22529e-05,3.53203e-05,6.9326e-06,16.4074,yes,2.43629e-05,3.01854e-05,-5.8225e-06,-23.899,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_decrease_fraction,0.999958,0.999965,7e-06,0.000700029,yes,0.999976,0.99997,-6e-06,-0.000600014,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,2.48036,1.71511,0.76525,30.8524,yes,2.14256,1.39766,0.7449,34.7668,yes
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,displacement_relative_l2,118.553,159.965,-41.412,-34.9312,no,104.369,160.96,-56.591,-54.222,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,final_displacement_relative_l2,161.242,219.458,-58.216,-36.1047,no,141.735,218.757,-77.022,-54.3423,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,1.42269,1.40433,0.01836,1.29051,yes,1.38718,1.42892,-0.04174,-3.00898,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,2.06285,1.91324,0.14961,7.25259,yes,2.18047,1.97939,0.20108,9.22187,yes
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,qp_reversal_eqp_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,qp_reversal_plastic_work_increment_relative_l2,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,qp_reversal_yield_flag_mae,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,7.87038,7.70549,0.16489,2.09507,yes,6.57605,8.26366,-1.68761,-25.663,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,55.6153,58.2733,-2.658,-4.77926,no,30.4751,44.2937,-13.8186,-45.3439,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,110.048,148.699,-38.651,-35.1219,no,95.0322,149.798,-54.7658,-57.6287,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_initial_residual_relative_rms,7.70893,7.1478,0.56113,7.27896,yes,6.53657,7.05103,-0.51446,-7.87049,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_final_residual_relative_rms,0.000265331,4.41832e-09,0.000265327,99.9983,yes,0.000239454,2.13502e-09,0.000239452,99.9991,yes
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,4.16406e-05,7.21153e-10,4.16399e-05,99.9983,yes,2.44509e-05,3.63025e-10,2.44505e-05,99.9985,yes
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,0.999958,1,4.2e-05,0.00420018,yes,0.999976,1,2.4e-05,0.00240006,yes
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,0.999958,0.99571,-0.004248,-0.424818,no,0.999976,0.997576,-0.0024,-0.240006,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_step1_residual_ratio,4.16406e-05,3.55179e-05,6.1227e-06,14.7037,yes,2.44509e-05,3.01739e-05,-5.723e-06,-23.4061,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_step1_residual_decrease_fraction,0.999958,0.999964,6e-06,0.000600025,yes,0.999976,0.99997,-6e-06,-0.000600014,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,1.82634,1.31594,0.5104,27.9466,yes,1.61299,1.03619,0.5768,35.7597,yes
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,displacement_relative_l2,136.472,184.103,-47.631,-34.9017,no,120.067,185.395,-65.328,-54.4096,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,final_displacement_relative_l2,188.2,255.992,-67.792,-36.0213,no,165.403,255.394,-89.991,-54.4071,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,qp_history_relative_l2,1.6354,1.62525,0.01015,0.620643,yes,1.57684,1.69991,-0.12307,-7.80485,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,qp_history_increment_relative_l2,2.27941,2.11904,0.16037,7.03559,yes,2.45398,2.1834,0.27058,11.0262,yes
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,qp_reversal_eqp_increment_relative_l2,3.53759,4.93811,-1.40052,-39.5897,no,1.12792,4.07847,-2.95055,-261.592,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,qp_reversal_plastic_work_increment_relative_l2,3.57704,4.98743,-1.41039,-39.429,no,1.12358,4.15089,-3.02731,-269.434,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,qp_reversal_yield_flag_mae,0.679842,0.55336,0.126482,18.6046,yes,0.869565,0.458498,0.411067,47.2727,yes
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_residual_relative_rms,9.18409,8.96903,0.21506,2.34166,yes,7.6666,9.62311,-1.95651,-25.5199,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_energy_relative_error,63.0233,64.7332,-1.7099,-2.71312,no,34.4765,38.739,-4.2625,-12.3635,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_solver_linearized_residual_relative_rms,127.351,172.092,-44.741,-35.132,no,109.92,173.444,-63.524,-57.7911,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_initial_residual_relative_rms,8.9927,8.31935,0.67335,7.48774,yes,7.6204,8.21637,-0.59597,-7.82072,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_final_residual_relative_rms,0.000308756,5.18401e-09,0.000308751,99.9983,yes,0.000278147,2.46935e-09,0.000278145,99.9991,yes
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_residual_ratio,4.17361e-05,7.24843e-10,4.17354e-05,99.9983,yes,2.4081e-05,3.62796e-10,2.40806e-05,99.9985,yes
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_residual_decrease_fraction,0.999958,1,4.2e-05,0.00420018,yes,0.999976,1,2.4e-05,0.00240006,yes
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_step_residual_decrease_fraction,0.999958,0.995705,-0.004253,-0.425318,no,0.999976,0.997568,-0.002408,-0.240806,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_step1_residual_ratio,4.17361e-05,3.55092e-05,6.2269e-06,14.9197,yes,2.4081e-05,3.02406e-05,-6.1596e-06,-25.5787,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_step1_residual_decrease_fraction,0.999958,0.999964,6e-06,0.000600025,yes,0.999976,0.99997,-6e-06,-0.000600014,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_correction_relative_norm,2.12376,1.51808,0.60568,28.5192,yes,1.88055,1.19932,0.68123,36.225,yes
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_accepted_damping,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_convergence_rate,1,1,0,0,no,1,1,0,0,no
Multi-step line-search Newton,hgo_qp_true_j2,unload_reload,fem_newton_failure_rate,0,0,0,,no,0,0,0,,no
